PartijID,Datum,SeizoenID,SpelerID,TegenstanderID,AantalCaramboles,TeHalenGemiddelde,Caramboles,Beurten,HoogsteSet,Gemiddelde,PlusMin
231,"01/12/06 00:00:00",1,13,10,23,0.92000002,8,18,3,0.44444445,-0.47555557
232,"01/12/06 00:00:00",1,10,13,28,1.12,28,18,5,1.5555556,0.43555558
233,"01/12/06 00:00:00",1,8,21,30,1.2,18,25,4,0.72000003,-0.48000002
234,"01/12/06 00:00:00",1,21,8,35,1.4,33,25,5,1.3200001,-0.079999924
235,"01/12/06 00:00:00",1,5,14,14,0.56,14,15,5,0.93333334,0.37333333
236,"01/12/06 00:00:00",1,14,5,19,0.75999999,19,15,3,1.2666667,0.50666666
237,"01/12/06 00:00:00",1,5,21,14,0.56,15,19,5,0.78947371,0.22947371
238,"01/12/06 00:00:00",1,21,5,35,1.4,11,19,3,0.57894737,-0.82105261
239,"01/12/06 00:00:00",1,8,19,30,1.2,30,20,6,1.5,0.29999995
240,"01/12/06 00:00:00",1,19,8,54,2.1600001,20,20,10,0.5,-1.66
241,"01/12/06 00:00:00",1,19,21,54,2.1600001,23,17,5,1.3529412,-0.80705893
242,"01/12/06 00:00:00",1,21,19,35,1.4,35,17,7,2.0588236,0.65882361
243,"01/12/06 00:00:00",1,23,18,42,1.6799999,42,12,18,3.5,1.8200001
244,"01/12/06 00:00:00",1,18,23,19,0.75999999,14,12,4,1.1666666,0.40666664
245,"01/21/06 00:00:00",1,23,14,42,1.6799999,40,25,10,1.6,-0.079999924
246,"01/21/06 00:00:00",1,14,23,19,0.75999999,17,25,4,0.68000001,-0.079999983
247,"01/21/06 00:00:00",1,23,21,42,1.6799999,35,23,5,1.5217391,-0.15826082
248,"01/21/06 00:00:00",1,21,23,35,1.4,35,23,5,1.5217391,0.12173915
249,"01/21/06 00:00:00",1,3,13,54,2.1600001,54,24,14,2.25,0.089999914
250,"01/21/06 00:00:00",1,13,3,23,0.92000002,22,24,6,0.91666669,-0.0033333302
251,"01/21/06 00:00:00",1,16,10,102,4.0799999,65,12,16,5.4166665,1.3366666
252,"01/21/06 00:00:00",1,10,16,28,1.12,28,12,5,2.3333333,1.2133332
253,"01/21/06 00:00:00",1,23,14,42,1.6799999,34,25,7,1.36,-0.31999993
254,"01/21/06 00:00:00",1,14,23,19,0.75999999,17,25,4,0.68000001,-0.079999983
255,"01/21/06 00:00:00",1,10,13,28,1.12,28,24,5,1.1666666,0.046666622
256,"01/21/06 00:00:00",1,13,10,23,0.92000002,9,24,3,0.375,-0.54500002
